Hotel Occupancy Rates in London,Months,Occupancy percentage,REVPAR
,August 2021,58.80%, £63.97
,September 2021,67.90%,£82.7
,October 2021,65.40%,£95.22
,November 2021,66.30%,£100.76
,December 2021,53.40%,£82.08
,January 2022,38.60%,£42.69
,February 2022,58.80%,£76.88
Airbnb Occupancy Rates in London,Months,Occupancy Rate,REVPAR
,August 2021,42.00%, £59.22
,September 2021,53.00%, £73.67
,October 2021,43.00%, £60.63
,November 2021,44.00%, £62.92
,December 2021,45.00%, £65.25
,January 2022,30.00%, £42.9
,February 2022,39.00%, £55.38
