Code,Area,Year,Dwellings,Population,Persons_per_dwelling
E09000001,City of London,2001,5009,7359,1.5
E09000002,Barking and Dagenham,2001,68298,165654,2.4
E09000003,Barnet,2001,130515,319481,2.5
E09000004,Bexley,2001,91606,218757,2.4
E09000005,Brent,2001,101427,269620,2.7
E09000006,Bromley,2001,128717,296218,2.3
E09000007,Camden,2001,93112,202567,2.2
E09000008,Croydon,2001,141300,335112,2.4
E09000009,Ealing,2001,120331,307276,2.6
E09000010,Enfield,2001,112948,277266,2.5
E09000011,Greenwich,2001,95406,217460,2.3
E09000012,Hackney,2001,87208,207246,2.4
E09000013,Hammersmith and Fulham,2001,77095,169374,2.2
E09000014,Haringey,2001,93638,221251,2.4
E09000015,Harrow,2001,80734,210044,2.6
E09000016,Havering,2001,93792,224717,2.4
E09000017,Hillingdon,2001,99060,245616,2.5
E09000018,Hounslow,2001,85810,215976,2.5
E09000019,Islington,2001,83244,179387,2.2
E09000020,Kensington and Chelsea,2001,83751,162199,1.9
E09000021,Kingston upon Thames,2001,62474,149045,2.4
E09000022,Lambeth,2001,120390,273372,2.3
E09000023,Lewisham,2001,108964,254336,2.3
E09000024,Merton,2001,80789,191106,2.4
E09000025,Newham,2001,93390,249411,2.7
E09000026,Redbridge,2001,93989,241893,2.6
E09000027,Richmond upon Thames,2001,78411,174311,2.2
E09000028,Southwark,2001,107119,256712,2.4
E09000029,Sutton,2001,77701,181461,2.3
E09000030,Tower Hamlets,2001,80225,201090,2.5
E09000031,Waltham Forest,2001,91992,222015,2.4
E09000032,Wandsworth,2001,120744,271742,2.3
E09000033,Westminster,2001,101213,203329,2.0
E13000001,Inner London,2001,1134358,2859375,2.3
E13000002,Outer London,2001,1835300,4463028,2.4
E12000001,North East,2001,1114912,2540090,2.3
E12000002,North West,2001,2945055,6772985,2.3
E12000003,Yorkshire and The Humber,2001,2154702,4976643,2.3
E12000004,East Midlands,2001,1796656,4189622,2.3
E12000005,West Midlands,2001,2224650,5280727,2.4
E12000006,East,2001,2307854,5400463,2.3
E12000007,London,2001,3090402,7322403,2.4
E12000008,South East,2001,3391835,8023449,2.4
E12000009,South West,2001,2180746,4943364,2.3
E92000001,England,2001,21206812,49449746,2.3
E09000001,City of London,2002,5117.1,7280,1.4
E09000002,Barking and Dagenham,2002,68525.7,166357,2.4
E09000003,Barnet,2002,130800.6,320552,2.5
E09000004,Bexley,2002,91907.6,219123,2.4
E09000005,Brent,2002,102828.1,269871,2.6
E09000006,Bromley,2002,128974.2,296668,2.3
E09000007,Camden,2002,93884.1,203972,2.2
E09000008,Croydon,2002,141423.6,335415,2.4
E09000009,Ealing,2002,120589.7,309242,2.6
E09000010,Enfield,2002,114130.9,280745,2.5
E09000011,Greenwich,2002,95971.9,221476,2.3
E09000012,Hackney,2002,88556.5565,210961,2.4
E09000013,Hammersmith and Fulham,2002,77287.3,171989,2.2
E09000014,Haringey,2002,94320.6843,224474,2.4
E09000015,Harrow,2002,80963.1,212336,2.6
E09000016,Havering,2002,94194.46934,225054,2.4
E09000017,Hillingdon,2002,99327.5,247063,2.5
E09000018,Hounslow,2002,86521.2,216888,2.5
E09000019,Islington,2002,84255.3,180118,2.1
E09000020,Kensington and Chelsea,2002,83818.7,163827,2.0
E09000021,Kingston upon Thames,2002,62620.6,149642,2.4
E09000022,Lambeth,2002,121455,273041,2.3
E09000023,Lewisham,2002,109434.5,253662,2.3
E09000024,Merton,2002,80602.2,190561,2.4
E09000025,Newham,2002,94609.4,255282,2.7
E09000026,Redbridge,2002,94682.2,244273,2.6
E09000027,Richmond upon Thames,2002,78675.8,175441,2.2
E09000028,Southwark,2002,107540.1,256269,2.4
E09000029,Sutton,2002,77734.4,181265,2.3
E09000030,Tower Hamlets,2002,82185,207031,2.5
E09000031,Waltham Forest,2002,92409.3,223776,2.4
E09000032,Wandsworth,2002,121619.6,274917,2.3
E09000033,Westminster,2002,103123.7,208100,2.0
E13000001,Inner London,2002,1145587.441,2890923,2.3
E13000002,Outer London,2002,1842883.069,4485748,2.4
E12000001,North East,2002,1119401.018,2540600,2.3
E12000002,North West,2002,2958598.224,6784880,2.3
E12000003,Yorkshire and The Humber,2002,2167453.758,5000111,2.3
E12000004,East Midlands,2002,1812843.751,4221753,2.3
E12000005,West Midlands,2002,2237701.674,5301243,2.4
E12000006,East,2002,2327007.948,5432688,2.3
E12000007,London,2002,3110090.11,7376671,2.4
E12000008,South East,2002,3418054.462,8045192,2.4
E12000009,South West,2002,2202365.475,4976129,2.3
E92000001,England,2002,21353516.42,49679267,2.3
E09000001,City of London,2003,5126.2,7115,1.4
E09000002,Barking and Dagenham,2003,68837.4,166210,2.4
E09000003,Barnet,2003,131883.2,321802,2.4
E09000004,Bexley,2003,92223.2,220016,2.4
E09000005,Brent,2003,103846.2,268323,2.6
E09000006,Bromley,2003,129314.4,297253,2.3
E09000007,Camden,2003,94460.2,204254,2.2
E09000008,Croydon,2003,141819.2,335919,2.4
E09000009,Ealing,2003,120922.4,308108,2.6
E09000010,Enfield,2003,115273.8,281835,2.4
E09000011,Greenwich,2003,96745.8,224303,2.3
E09000012,Hackney,2003,90216.113,212405,2.4
E09000013,Hammersmith and Fulham,2003,77608.6,171510,2.2
E09000014,Haringey,2003,95142.3686,225027,2.4
E09000015,Harrow,2003,81524.2,213728,2.6
E09000016,Havering,2003,94552.93868,225248,2.4
E09000017,Hillingdon,2003,99766,248054,2.5
E09000018,Hounslow,2003,87433.4,216498,2.5
E09000019,Islington,2003,85983.6,180899,2.1
E09000020,Kensington and Chelsea,2003,83965.4,165268,2.0
E09000021,Kingston upon Thames,2003,62868.2,149683,2.4
E09000022,Lambeth,2003,122013,272195,2.2
E09000023,Lewisham,2003,109746,251936,2.3
E09000024,Merton,2003,80475.4,189298,2.4
E09000025,Newham,2003,95490.8,256224,2.7
E09000026,Redbridge,2003,95500.4,247412,2.6
E09000027,Richmond upon Thames,2003,78956.6,177182,2.2
E09000028,Southwark,2003,108467.2,255242,2.4
E09000029,Sutton,2003,77855.8,181267,2.3
E09000030,Tower Hamlets,2003,83659,208651,2.5
E09000031,Waltham Forest,2003,92699.6,224115,2.4
E09000032,Wandsworth,2003,122821.2,276828,2.3
E09000033,Westminster,2003,104540.4,211009,2.0
E13000001,Inner London,2003,1156418.882,2898563,2.3
E13000002,Outer London,2003,1852498.139,4496254,2.4
E12000001,North East,2003,1124744.036,2540461,2.3
E12000002,North West,2003,2976718.448,6814660,2.3
E12000003,Yorkshire and The Humber,2003,2180905.515,5026314,2.3
E12000004,East Midlands,2003,1829781.501,4255080,2.3
E12000005,West Midlands,2003,2251443.348,5325475,2.4
E12000006,East,2003,2348561.895,5474133,2.3
E12000007,London,2003,3131738.22,7394817,2.4
E12000008,South East,2003,3445323.923,8087924,2.4
E12000009,South West,2003,2224174.449,5006653,2.3
E92000001,England,2003,21513391.34,49925517,2.3
E09000001,City of London,2004,5263.3,7118,1.4
E09000002,Barking and Dagenham,2004,68899.1,165610,2.4
E09000003,Barnet,2004,132855.8,323723,2.4
E09000004,Bexley,2004,92949.8,220917,2.4
E09000005,Brent,2004,104454.3,268335,2.6
E09000006,Bromley,2004,129808.6,297307,2.3
E09000007,Camden,2004,94841.3,207341,2.2
E09000008,Croydon,2004,142176.8,337134,2.4
E09000009,Ealing,2004,121428.1,310073,2.6
E09000010,Enfield,2004,116337.7,282217,2.4
E09000011,Greenwich,2004,98181.7,227190,2.3
E09000012,Hackney,2004,91587.6695,213581,2.3
E09000013,Hammersmith and Fulham,2004,78197.9,172083,2.2
E09000014,Haringey,2004,95714.05289,226472,2.4
E09000015,Harrow,2004,82053.3,216267,2.6
E09000016,Havering,2004,95182.40802,225769,2.4
E09000017,Hillingdon,2004,100305.5,248691,2.5
E09000018,Hounslow,2004,88607.6,219440,2.5
E09000019,Islington,2004,87262.9,180831,2.1
E09000020,Kensington and Chelsea,2004,84363.1,165752,2.0
E09000021,Kingston upon Thames,2004,63404.8,151055,2.4
E09000022,Lambeth,2004,122819,274262,2.2
E09000023,Lewisham,2004,110807.5,252455,2.3
E09000024,Merton,2004,80332.6,188908,2.4
E09000025,Newham,2004,96805.2,254434,2.6
E09000026,Redbridge,2004,96195.6,248774,2.6
