id,last_scraped,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,reviews_per_month
13913,2021-09-11,54730,Alina,f,3.0,3.0,51.56802,-0.11121,Private room in rental unit,Private room,2,$65.00,1,29,359,21,2011-07-11,2011-09-13,4.85,0.17
15400,2021-09-11,60302,Philippa,f,1.0,1.0,51.4878,-0.16813,Entire rental unit,Entire home/apt,2,$75.00,3,50,153,89,2012-07-16,2019-08-10,4.79,0.8
17402,2021-09-11,67564,Liz,f,18.0,18.0,51.52195,-0.14094,Entire rental unit,Entire home/apt,6,$307.00,4,365,322,43,2011-09-18,2019-11-02,4.69,0.35
24328,2021-09-11,41759,Joe,f,0.0,0.0,51.47298,-0.16376,Entire townhouse,Entire home/apt,4,$195.00,7,1125,248,93,2011-11-01,2015-10-24,4.89,0.77
33332,2021-09-12,144444,Chi-Chi,f,2.0,2.0,51.46507,-0.32421,Private room in residential home,Private room,2,$65.00,1,21,365,7,2010-10-16,2011-01-23,4.57,0.05
36299,2021-09-12,155938,Geert,f,1.0,1.0,51.47934,-0.28066,Entire townhouse,Entire home/apt,5,$195.00,3,22,345,81,2018-10-15,2021-08-29,4.81,2.28
36660,2021-09-11,157884,Agri & Roger,t,4.0,4.0,51.58461,-0.1617,Private room in residential home,Private room,2,$72.00,2,365,332,538,2012-05-02,2019-12-19,4.84,4.72
38610,2021-09-11,165579,Elisa & Dom,t,2.0,2.0,51.50819,-0.23284,Entire townhouse,Entire home/apt,8,$155.00,91,1125,251,36,2013-01-04,2020-01-17,4.86,0.34
38995,2021-09-12,167281,Cesar,f,1.0,1.0,51.47871,-0.06063,Private room in rental unit,Private room,2,$42.00,1,7,40,6,2020-02-08,2020-02-21,5.0,0.31
39387,2021-09-11,168920,Alec,f,1.0,1.0,51.52605,-0.19942,Private room in rental unit,Private room,2,$42.00,5,10,88,10,2014-06-18,2019-11-03,4.5,0.11
41445,2021-09-12,180838,Sean,f,1.0,1.0,51.61648,-0.25788,Entire rental unit,Entire home/apt,4,$250.00,4,1125,358,21,2012-12-16,2017-01-05,4.56,0.2
41509,2021-09-11,181028,Peter,t,2.0,2.0,51.49157,-0.256,Private room in rental unit,Private room,4,$150.00,1,50,179,71,2013-04-09,2019-08-18,4.5,0.69
