id,host_id,host_name,latitude,longitude,room_type,price,availability_365
13913,54730,Alina,51.56861,-0.1127,Private room,$50.00,343
15400,60302,Philippa,51.4878,-0.16813,Entire home/apt,$75.00,70
284532,1481412,Luca,51.52851,-0.07426,Entire home/apt,$90.00,222
106332,264345,Susie,51.52874,-0.05396,Private room,$55.00,74
17402,67564,Liz,51.52195,-0.14094,Entire home/apt,$379.00,249
107048,259088,Simon,51.52478,-0.10484,Private room,$180.00,236
107051,554519,Meg,51.52055,-0.18317,Entire home/apt,$204.00,193
284603,1481851,Tania,51.51464,-0.20004,Entire home/apt,$297.00,180
24328,41759,Joe,51.47072,-0.16266,Entire home/apt,$195.00,116
286675,1491611,Nora,51.57982,-0.37539,Entire home/apt,$90.00,318
116268,586671,Joe,51.61137,-0.11888,Private room,$30.00,251
289422,862386,Veneranda And Leo,51.52185,0.02417,Private room,$45.00,40
289802,862386,Veneranda And Leo,51.52185,0.02417,Private room,$45.00,105
33332,144444,Chi-Chi,51.4641,-0.32498,Private room,$95.00,363
290233,1506151,Portia,51.53667,0.00562,Entire home/apt,$572.00,365
36299,155938,Geert,51.48085,-0.28086,Entire home/apt,$245.00,224
291731,1254028,Matt,51.429,-0.12764,Private room,$29.00,330
137907,67564,Liz,51.52197,-0.14035,Entire home/apt,$185.00,197
294177,1521032,Oliver,51.59375,-0.25767,Entire home/apt,$65.00,318
38610,165579,Elisa & Dom,51.50701,-0.23362,Entire home/apt,$200.00,259
294247,1521435,Milena,51.48641,-0.21277,Private room,$120.00,362
38950,167107,Paul,51.58684,-0.08632,Private room,$45.00,68
143028,694198,Yasmin,51.40066,-0.19158,Entire home/apt,$279.00,90
294887,1527176,Gill,51.57537,0.00536,Private room,$40.00,302
40228,167107,Paul,51.58738,-0.08792,Private room,$45.00,358
298246,1254028,Matt,51.42892,-0.12915,Entire home/apt,$135.00,356
41445,180838,Sean,51.61492,-0.25632,Entire home/apt,$550.00,358
299374,1542753,Yvonne,51.55764,-0.30173,Entire home/apt,$59.00,152
41509,181028,Peter,51.49351,-0.25568,Private room,$150.00,128
300723,1549137,Rita,51.58358,-0.1177,Entire home/apt,$207.00,256
41712,182322,Nina,51.50191,-0.10204,Private room,$95.00,345
301631,1554006,Christopher,51.51806,-0.01719,Private room,$55.00,365
157714,757377,Eilinn,51.48974,-0.22208,Private room,$90.00,62
42010,157884,Agri & Roger,51.5859,-0.16434,Private room,$60.00,252
159736,766056,Trevor,51.46788,-0.09993,Private room,$46.00,201
43129,188138,Sylvan,51.48164,-0.21082,Private room,$60.00,351
43202,188559,Calypso,51.53031,-0.21713,Entire home/apt,$140.00,48
304918,259088,Simon,51.52264,-0.10323,Private room,$180.00,249
43742,191353,Mark,51.55143,-0.09493,Private room,$88.00,324
166760,794470,Amelia,51.38888,-0.06633,Entire home/apt,$91.00,170
305573,281951,Ed,51.49608,-0.09713,Entire home/apt,$75.00,68
45163,199530,Deb,51.55237,-0.19954,Private room,$45.00,160
306405,1575800,Mary,51.54072,0.15246,Private room,$41.00,365
168348,802297,Alexandra,51.51755,-0.20159,Entire home/apt,$160.00,110
306737,1577723,Yael,51.54655,-0.16495,Entire home/apt,$400.00,108
47192,212734,"Let'S Dance, Put On Your Red Shoes",51.52958,-0.14344,Private room,$48.00,318
47687,216660,Boris,51.4934,-0.22929,Entire home/apt,$55.00,150
307923,1584404,Rubina,51.52344,-0.46178,Private room,$50.00,173
168875,32410,Fabio,51.53593,-0.06396,Entire home/apt,$119.00,253
49970,216660,Boris,51.49462,-0.22923,Hotel room,$72.00,229
172629,471088,Anthony,51.49603041885879,-0.1967062534468715,Private room,$100.00,58
308005,67564,Liz,51.52197,-0.14035,Entire home/apt,$211.00,117
308640,1586861,Eliza,51.55216,-0.03871,Entire home/apt,$199.00,253
55706,211108,Simon,51.49506,-0.1563,Entire home/apt,$297.00,283
310724,1598430,Maria,51.49324,-0.11058,Entire home/apt,$300.00,42
174132,831866,Erika,51.52636,-0.18801,Private room,$80.00,309
56229,216660,Boris,51.49547,-0.22942,Entire home/apt,$56.00,266
310949,1599044,Robert And Antonio,51.49927,0.10729,Private room,$36.00,245
62970,336059,Thomas,51.52435,-0.06938,Entire home/apt,$380.00,68
311430,766056,Trevor,51.46934,-0.10136,Private room,$45.00,187
182802,876774,Heather,51.43855,-0.32191,Private room,$60.00,343
63948,216660,Boris,51.49547,-0.22864,Entire home/apt,$62.00,214
311768,871053,Doreen &  Nichola,51.41779,-0.15163,Entire home/apt,$500.00,91
312761,1608226,Pippa,51.52704,-0.08129,Entire home/apt,$160.00,54
189002,911280,Vee,51.49094,-0.27008,Private room,$85.00,178
66772,216660,Boris,51.4937,-0.22914,Private room,$55.00,271
69198,345886,Alda,51.59031,-0.09408,Private room,$53.00,280
314164,1614205,Lara,51.55896,-0.08297,Entire home/apt,$97.00,32
315238,1619024,Sally,51.47565,-0.15073,Entire home/apt,$180.00,249
190028,497366,Andrea,51.55119,-0.08582,Entire home/apt,$120.00,327
70482,357352,Michael,51.54096,-0.0487,Entire home/apt,$190.00,362
198258,967537,Ryan,51.5343,0.08178,Private room,$64.00,345
