Year,Quarter,Code,Area,Category,Count of rents,Average,Lower quartile,Median,Upper quartile
2016,Q1,E09000001,City of London,All categories,90,2249,1647,2102,2383
2016,Q1,E09000002,Barking and Dagenham,All categories,670,1099,897,1100,1300
2016,Q1,E09000003,Barnet,All categories,2850,1669,1127,1387,1759
2016,Q1,E09000004,Bexley,All categories,950,1036,825,1000,1250
2016,Q1,E09000005,Brent,All categories,2690,1584,1200,1473,1800
2016,Q1,E09000006,Bromley,All categories,1340,1241,950,1195,1400
2016,Q1,E09000007,Camden,All categories,3470,2285,1517,1950,2640
2016,Q1,E09000008,Croydon,All categories,1100,1102,860,1075,1250
2016,Q1,E09000009,Ealing,All categories,2310,1458,1025,1350,1700
2016,Q1,E09000010,Enfield,All categories,1810,1260,950,1250,1450
2016,Q1,E09000011,Greenwich,All categories,1380,1342,1000,1275,1550
2016,Q1,E09000012,Hackney,All categories,1670,1773,1365,1668,2080
2016,Q1,E09000013,Hammersmith and Fulham,All categories,1140,1886,1300,1582,2162
2016,Q1,E09000014,Haringey,All categories,2310,1523,1127,1400,1712
2016,Q1,E09000015,Harrow,All categories,2190,1370,1100,1300,1550
2016,Q1,E09000016,Havering,All categories,710,1027,825,1000,1200
2016,Q1,E09000017,Hillingdon,All categories,1390,1194,900,1150,1400
2016,Q1,E09000018,Hounslow,All categories,1870,1659,1200,1450,1875
2016,Q1,E09000019,Islington,All categories,2940,1941,1452,1733,2275
2016,Q1,E09000020,Kensington and Chelsea,All categories,2070,3215,1863,2492,3488
2016,Q1,E09000021,Kingston upon Thames,All categories,2020,1453,1075,1300,1650
2016,Q1,E09000022,Lambeth,All categories,2490,1690,1300,1560,1907
2016,Q1,E09000023,Lewisham,All categories,1860,1242,995,1200,1450
2016,Q1,E09000024,Merton,All categories,1280,1625,1150,1400,1795
2016,Q1,E09000025,Newham,All categories,1600,1314,1000,1300,1575
2016,Q1,E09000026,Redbridge,All categories,1470,1199,900,1150,1400
2016,Q1,E09000027,Richmond upon Thames,All categories,2690,2036,1300,1595,2250
2016,Q1,E09000028,Southwark,All categories,2700,1600,1200,1473,1850
2016,Q1,E09000029,Sutton,All categories,810,1119,875,1075,1250
2016,Q1,E09000030,Tower Hamlets,All categories,2430,1733,1375,1625,1993
2016,Q1,E09000031,Waltham Forest,All categories,1470,1230,1000,1200,1400
2016,Q1,E09000032,Wandsworth,All categories,3060,1889,1400,1650,2145
2016,Q1,E09000033,Westminster,All categories,4020,2956,1820,2383,3250
2016,Q1,E12000001,NORTH EAST,All categories,24830,505,400,475,560
2016,Q1,E12000002,NORTH WEST,All categories,66340,567,425,525,650
2016,Q1,E12000003,YORKSHIRE AND THE HUMBER,All categories,50860,556,425,500,615
2016,Q1,E12000004,EAST MIDLANDS,All categories,50420,565,440,530,650
2016,Q1,E12000005,WEST MIDLANDS,All categories,44610,607,475,565,680
2016,Q1,E12000006,EAST,All categories,47910,786,570,695,900
