GSS_CODE,NAME,COUNT,price_ave,airbnb_annual_income,Code_x,Area,Year,Dwellings,Population,Persons_per_dwelling,Code_y,rent_income_sum
E09000001,City of London,290,206.37241379310345,2992400.0,E09000001,City of London,2019,6506.0,9688,1.5,E09000001,2852400.0
E09000002,Barking and Dagenham,71,105.46478873239435,374400.0,E09000002,Barking and Dagenham,2019,75829.0,211185,2.8,E09000002,11586240.0
E09000003,Barnet,417,145.29736211031175,3029450.0,E09000003,Barnet,2019,152946.0,393406,2.6,E09000003,52198560.0
E09000004,Bexley,72,112.875,406350.0,E09000004,Bexley,2019,98391.0,246833,2.5,E09000004,10666560.0
E09000005,Brent,585,144.26495726495727,4219750.0,E09000005,Brent,2019,120448.0,327466,2.7,E09000005,38061360.0
E09000006,Bromley,133,108.81203007518798,723600.0,E09000006,Bromley,2019,139684.0,330443,2.4,E09000006,35902320.0
E09000007,Camden,2327,193.19424151267728,22478150.000000004,E09000007,Camden,2019,105598.0,268778,2.5,E09000007,121155840.0
E09000008,Croydon,234,116.3119658119658,1360850.0,E09000008,Croydon,2019,161060.0,384049,2.4,E09000008,24686400.0
E09000009,Ealing,397,135.1712846347607,2683149.9999999995,E09000009,Ealing,2019,135305.0,339396,2.5,E09000009,35972160.0
E09000010,Enfield,157,114.63057324840764,899850.0,E09000010,Enfield,2019,126255.0,331643,2.6,E09000010,13833000.0
E09000011,Greenwich,455,143.83296703296702,3272199.9999999995,E09000011,Greenwich,2019,114398.0,285864,2.5,E09000011,20368800.0
E09000012,Hackney,1318,160.37101669195752,10568450.0,E09000012,Hackney,2019,111559.0,279045,2.5,E09000012,30150960.0
E09000013,Hammersmith and Fulham,1498,169.7289719626168,12712699.999999998,E09000013,Hammersmith and Fulham,2019,89186.0,184055,2.1,E09000013,54151200.0
E09000014,Haringey,452,163.93362831858408,3704900.0,E09000014,Haringey,2019,109388.0,266909,2.4,E09000014,28141800.0
E09000015,Harrow,128,160.953125,1030100.0,E09000015,Harrow,2019,91909.0,249448,2.7,E09000015,34844160.0
E09000016,Havering,71,131.5211267605634,466900.0,E09000016,Havering,2019,102459.0,257945,2.5,E09000016,12079080.0
E09000017,Hillingdon,159,112.47798742138365,894200.0,E09000017,Hillingdon,2019,110734.0,304887,2.8,E09000017,25715040.0
E09000018,Hounslow,268,138.0037313432836,1849250.0,E09000018,Hounslow,2019,101838.0,269623,2.6,E09000018,29610000.0
E09000019,Islington,1432,157.89874301675977,11305550.0,E09000019,Islington,2019,103740.0,241219,2.3,E09000019,58214400.0
E09000020,Kensington and Chelsea,3131,265.0380070265091,41491700.0,E09000020,Kensington and Chelsea,2019,87726.0,155295,1.8,E09000020,83536320.0
E09000021,Kingston upon Thames,119,125.54621848739497,747000.0,E09000021,Kingston upon Thames,2019,67642.0,176541,2.6,E09000021,9883680.0
E09000022,Lambeth,939,151.21618743343984,7099600.0,E09000022,Lambeth,2019,141507.0,324267,2.3,E09000022,40343040.0
E09000023,Lewisham,364,120.28021978021978,2189100.0,E09000023,Lewisham,2019,128115.0,303735,2.4,E09000023,30683040.0
E09000024,Merton,258,161.0968992248062,2078150.0,E09000024,Merton,2019,84570.0,205108,2.4,E09000024,27015840.0
E09000025,Newham,465,148.66881720430106,3456550.0,E09000025,Newham,2019,116979.0,350478,3.0,E09000025,32250960.0
E09000026,Redbridge,132,126.04545454545456,831900.0,E09000026,Redbridge,2019,104688.0,303075,2.9,E09000026,25173960.0
E09000027,Richmond upon Thames,316,175.71518987341773,2776300.0,E09000027,Richmond upon Thames,2019,85564.0,196947,2.3,E09000027,43001280.0
E09000028,Southwark,1266,168.29699842022117,10653200.0,E09000028,Southwark,2019,136178.0,316920,2.3,E09000028,54704640.0
E09000029,Sutton,50,93.64,234100.0,E09000029,Sutton,2019,83553.0,205169,2.5,E09000029,14102400.0
E09000030,Tower Hamlets,2040,149.44509803921568,15243400.0,E09000030,Tower Hamlets,2019,121539.0,322695,2.7,E09000030,59360040.0
E09000031,Waltham Forest,309,118.4757281553398,1830450.0,E09000031,Waltham Forest,2019,103642.0,274820,2.7,E09000031,24913440.0
E09000032,Wandsworth,974,168.49486652977413,8205700.0,E09000032,Wandsworth,2019,148075.0,327537,2.2,E09000032,87305280.0
E09000033,Westminster,5095,281.96643768400395,71830950.00000001,E09000033,Westminster,2019,125312.0,260168,2.1,E09000033,108408960.0
